"city_id";"region_id";"country_id";"important";"title_ru";"title_en";"region_ru";"region_en";"area_ru";"area_en";"country_id";"title_ru";"title_en"
"5418924";"0";"200";"False";"Aşkan";"Aşkan";"Konya İli";"Konya İli";"";"";"200";"Турция";"Turkey"
"4172003";"0";"120";"False";"Kéké";"Kéké";"";"";"";"";"120";"Мали";"Mali"
"3772642";"3767483";"119";"False";"Kampong Telok Jawa";"Kampong Telok Jawa";"Negeri Kedah";"Negeri Kedah";"";"";"119";"Малайзия";"Malaysia"
"3772633";"3767483";"119";"False";"Kampong Telok Kandai";"Kampong Telok Kandai";"Negeri Kedah";"Negeri Kedah";"";"";"119";"Малайзия";"Malaysia"
"3772513";"3767479";"119";"False";"Kampong Tembila";"Kampong Tembila";"Negeri Kelantan";"Negeri Kelantan";"";"";"119";"Малайзия";"Malaysia"
"3772470";"3767479";"119";"False";"Kampong Tendong";"Kampong Tendong";"Negeri Kelantan";"Negeri Kelantan";"";"";"119";"Малайзия";"Malaysia"
"3772397";"3767477";"119";"False";"Kampong Tengalong";"Kampong Tengalong";"Negeri Pahang";"Negeri Pahang";"";"";"119";"Малайзия";"Malaysia"
"3772615";"3767476";"119";"False";"Kampong Telok Kupia";"Kampong Telok Kupia";"Negeri Perak";"Negeri Perak";"";"";"119";"Малайзия";"Malaysia"
"3772493";"3767476";"119";"False";"Kampong Temong";"Kampong Temong";"Negeri Perak";"Negeri Perak";"";"";"119";"Малайзия";"Malaysia"
"3772231";"3767471";"119";"False";"Kampong Tirok";"Kampong Tirok";"Negeri Terengganu";"Negeri Terengganu";"";"";"119";"Малайзия";"Malaysia"
"3772475";"3767474";"119";"False";"Kampong Tenaki Kawang";"Kampong Tenaki Kawang";"State of Sabah";"State of Sabah";"";"";"119";"Малайзия";"Malaysia"
"3772473";"3767474";"119";"False";"Kampong Tenambak";"Kampong Tenambak";"State of Sabah";"State of Sabah";"";"";"119";"Малайзия";"Malaysia"
"3772277";"3767474";"119";"False";"Kampong Tigol";"Kampong Tigol";"State of Sabah";"State of Sabah";"";"";"119";"Малайзия";"Malaysia"
"3772239";"3767474";"119";"False";"Kampong Tiong Ratau";"Kampong Tiong Ratau";"State of Sabah";"State of Sabah";"";"";"119";"Малайзия";"Malaysia"
"3772238";"3767474";"119";"False";"Kampong Tiong Simpodon";"Kampong Tiong Simpodon";"State of Sabah";"State of Sabah";"";"";"119";"Малайзия";"Malaysia"
"4171868";"0";"120";"False";"Kersignané";"Kersignané";"";"";"";"";"120";"Мали";"Mali"
"3772278";"3767483";"119";"False";"Kampong Tiga Puloh Relong";"Kampong Tiga Puloh Relong";"Negeri Kedah";"Negeri Kedah";"";"";"119";"Малайзия";"Malaysia"
"4171216";"0";"120";"False";"Kougou";"Kougou";"";"";"";"";"120";"Мали";"Mali"
"3772148";"3767483";"119";"False";"Kampong Tok Jangga";"Kampong Tok Jangga";"Negeri Kedah";"Negeri Kedah";"";"";"119";"Малайзия";"Malaysia"
"3772348";"3767479";"119";"False";"Kampong Teratai";"Kampong Teratai";"Negeri Kelantan";"Negeri Kelantan";"";"";"119";"Малайзия";"Malaysia"
"3772347";"3767479";"119";"False";"Kampong Teratak";"Kampong Teratak";"Negeri Kelantan";"Negeri Kelantan";"";"";"119";"Малайзия";"Malaysia"
"3772317";"3767479";"119";"False";"Kampong Terning";"Kampong Terning";"Negeri Kelantan";"Negeri Kelantan";"";"";"119";"Малайзия";"Malaysia"
"3772170";"3767479";"119";"False";"Kampong Tok Derpah";"Kampong Tok Derpah";"Negeri Kelantan";"Negeri Kelantan";"";"";"119";"Малайзия";"Malaysia"
"3771992";"3767479";"119";"False";"Kampong Ujit";"Kampong Ujit";"Negeri Kelantan";"Negeri Kelantan";"";"";"119";"Малайзия";"Malaysia"
"3771959";"3767477";"119";"False";"Kampong Ulu Dong";"Kampong Ulu Dong";"Negeri Pahang";"Negeri Pahang";"";"";"119";"Малайзия";"Malaysia"
"3772310";"3767476";"119";"False";"Kampong Teropok";"Kampong Teropok";"Negeri Perak";"Negeri Perak";"";"";"119";"Малайзия";"Malaysia"
"3771964";"3767476";"119";"False";"Kampong Ulu Chepar";"Kampong Ulu Chepar";"Negeri Perak";"Negeri Perak";"";"";"119";"Малайзия";"Malaysia"
"3771947";"3767476";"119";"False";"Kampong Ulu Jepai";"Kampong Ulu Jepai";"Negeri Perak";"Negeri Perak";"";"";"119";"Малайзия";"Malaysia"
"3771900";"3767476";"119";"False";"Kampong Ulu Ribu";"Kampong Ulu Ribu";"Negeri Perak";"Negeri Perak";"";"";"119";"Малайзия";"Malaysia"
"3772341";"3767471";"119";"False";"Kampong Terawis";"Kampong Terawis";"Negeri Terengganu";"Negeri Terengganu";"";"";"119";"Малайзия";"Malaysia"
"3772200";"3767474";"119";"False";"Kampong Toboh";"Kampong Toboh";"State of Sabah";"State of Sabah";"";"";"119";"Малайзия";"Malaysia"
"3161179";"3146264";"200";"False";"Asmacık";"Asmacık";"Manisa İli";"Manisa İli";"";"";"200";"Турция";"Turkey"
"3772096";"3767479";"119";"False";"Kampong Tok Rusa";"Kampong Tok Rusa";"Negeri Kelantan";"Negeri Kelantan";"";"";"119";"Малайзия";"Malaysia"
"3772082";"3767479";"119";"False";"Kampong Tok Yakob";"Kampong Tok Yakob";"Negeri Kelantan";"Negeri Kelantan";"";"";"119";"Малайзия";"Malaysia"
"4171212";"0";"120";"False";"Koui";"Koui";"";"";"";"";"120";"Мали";"Mali"
"4175976";"0";"120";"False";"Ambidédi";"Ambidédi";"";"";"";"";"120";"Мали";"Mali"
"3772067";"3767479";"119";"False";"Kampong Tool";"Kampong Tool";"Negeri Kelantan";"Negeri Kelantan";"";"";"119";"Малайзия";"Malaysia"
"3769182";"3767479";"119";"False";"Kampung Bukit Perdak";"Kampung Bukit Perdak";"Negeri Kelantan";"Negeri Kelantan";"";"";"119";"Малайзия";"Malaysia"
"3768708";"3767479";"119";"False";"Kampung Cerang Ruku";"Kampung Cerang Ruku";"Negeri Kelantan";"Negeri Kelantan";"";"";"119";"Малайзия";"Malaysia"
"3772022";"3767477";"119";"False";"Kampong Tukas";"Kampong Tukas";"Negeri Pahang";"Negeri Pahang";"";"";"119";"Малайзия";"Malaysia"
"3771865";"3767477";"119";"False";"Kampong Unchang";"Kampong Unchang";"Negeri Pahang";"Negeri Pahang";"";"";"119";"Малайзия";"Malaysia"
"3768342";"3767477";"119";"False";"Kampung Beluru";"Kampung Beluru";"Negeri Pahang";"Negeri Pahang";"";"";"119";"Малайзия";"Malaysia"
"3772118";"3767476";"119";"False";"Kampong Tok Mat Sah";"Kampong Tok Mat Sah";"Negeri Perak";"Negeri Perak";"";"";"119";"Малайзия";"Malaysia"
"3771872";"3767476";"119";"False";"Kampong Ulu Tiong";"Kampong Ulu Tiong";"Negeri Perak";"Negeri Perak";"";"";"119";"Малайзия";"Malaysia"
"3768654";"3767476";"119";"False";"Kampung Damar Laut";"Kampung Damar Laut";"Negeri Perak";"Negeri Perak";"";"";"119";"Малайзия";"Malaysia"
"3768971";"3767475";"119";"False";"Kampung Bintong";"Kampung Bintong";" Pauh";" Pauh";"Negeri Perlis";"Negeri Perlis";"119";"Малайзия";"Malaysia"
"3769050";"3767475";"119";"False";"Kampung Bongor Kudong";"Kampung Bongor Kudong";" Pauh";" Pauh";"Negeri Perlis";"Negeri Perlis";"119";"Малайзия";"Malaysia"
"3779249";"3767471";"119";"False";"Kampung Darau";"Kampung Darau";"Negeri Terengganu";"Negeri Terengganu";"";"";"119";"Малайзия";"Malaysia"
"3768126";"0";"119";"False";"Kampung Baharu Padang Gajah";"Kampung Baharu Padang Gajah";"";"";"";"";"119";"Малайзия";"Malaysia"
"3771826";"3767483";"119";"False";"Kampong Wang Tepus";"Kampong Wang Tepus";"Negeri Kedah";"Negeri Kedah";"";"";"119";"Малайзия";"Malaysia"
"3767455";"3767477";"119";"False";"Kampung Kenung";"Kampung Kenung";"Negeri Pahang";"Negeri Pahang";"";"";"119";"Малайзия";"Malaysia"
"3767454";"3767477";"119";"False";"Kampung Kuala Tembeling";"Kampung Kuala Tembeling";"Negeri Pahang";"Negeri Pahang";"";"";"119";"Малайзия";"Malaysia"
"3767990";"3767476";"119";"False";"Kampung Kenayat Besar";"Kampung Kenayat Besar";"Negeri Perak";"Negeri Perak";"";"";"119";"Малайзия";"Malaysia"
"3768990";"3767475";"119";"False";"Kampung Kubang Paya";"Kampung Kubang Paya";" Pauh";" Pauh";"Negeri Perlis";"Negeri Perlis";"119";"Малайзия";"Malaysia"
